Section,Prelab_Due_Time,Lab_Report_Due_Time,Prelab: Electric Fields and Potentials,Prelab:  Capacitors,Prelab: DC Circuits,Prelab: Ohm's Law,Prelab: Kirchhoff's Rules,Prelab: Oscilloscope.  RC Time Constant,Prelab: Magnetic Field (e/m),Prelab: Current Balance,Prelab: Faraday's Law of Induction,Prelab: Resonance and Phases in LRC Circuits,Electric Fields and Potential,Capacitors,DC Circuits,Ohm's Law,Kirchhoff Rules,Oscilloscope.  RC Time Constant,Magnetic Fields (e/m),Current Balance,Faraday's Law,Resonance and Phases in LRC,
71852,07:30 AM,07:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71857,07:30 AM,07:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
72535,08:00 AM,07:30 AM,08/29/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,11/21/2017,Tuesday
75892,07:30 AM,07:00 AM,08/30/2017,09/13/2017,09/20/2017,09/27/2017,10/04/2017,10/18/2017,10/25/2017,11/01/2017,11/08/2017,11/15/2017,09/13/2017,09/20/2017,09/27/2017,10/04/2017,10/18/2017,10/25/2017,11/01/2017,11/08/2017,11/15/2017,11/22/2017,Wednesday
76863,07:30 AM,07:00 AM,08/30/2017,09/13/2017,09/20/2017,09/27/2017,10/04/2017,10/18/2017,10/25/2017,11/01/2017,11/08/2017,11/15/2017,09/13/2017,09/20/2017,09/27/2017,10/04/2017,10/18/2017,10/25/2017,11/01/2017,11/08/2017,11/15/2017,11/22/2017,Wednesday
71853,09:30 AM,09:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71854,11:30 AM,11:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71855,01:30 PM,01:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71856,03:30 PM,03:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
75339,05:30 PM,05:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71858,09:30 AM,09:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71859,11:30 AM,11:00 AM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71860,01:30 PM,01:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
71861,03:30 PM,03:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
72442,05:30 PM,05:00 PM,08/28/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,09/11/2017,09/18/2017,09/25/2017,10/02/2017,10/16/2017,10/23/2017,10/30/2017,11/06/2017,11/13/2017,11/20/2017,Monday
72536,10:00 AM,09:30 AM,08/29/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,11/21/2017,Tuesday
72537,12:00 PM,11:30 AM,08/29/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,09/12/2017,09/19/2017,09/26/2017,10/03/2017,10/17/2017,10/24/2017,10/31/2017,11/07/2017,11/14/2017,11/21/2017,Tuesday
