Section,Prelab_Due_Time,Lab_Report_Due_Time,Prelab: Electric Fields and Potentials,Prelab:  Capacitors,Prelab: DC Circuits,Prelab: Ohm's Law,Prelab: Kirchhoff's Rules,Prelab: Oscilloscope.  RC Time Constant,Prelab: Magnetic Field (e/m),Prelab: Current Balance,Prelab: Faraday's Law of Induction,Prelab: Resonance and Phases in LRC Circuits,Electric Fields and Potential,Capacitors,DC Circuits,Ohm's Law,Kirchhoff Rules,Oscilloscope.  RC Time Constant,Magnetic Fields (e/m),Current Balance,Faraday's Law,Resonance and Phases in LRC,
71852,7:30 AM,7:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71857,7:30 AM,7:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
72535,8:00 AM,7:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
75892,7:30 AM,7:00 AM,8/30/17,9/13/17,9/20/17,9/27/17,10/4/17,10/18/17,10/25/17,11/1/17,11/8/17,11/15/17,9/13/17,9/20/17,9/27/17,10/4/17,10/18/17,10/25/17,11/1/17,11/8/17,11/15/17,11/22/17,Wednesday
76863,7:30 AM,7:00 AM,8/30/17,9/13/17,9/20/17,9/27/17,10/4/17,10/18/17,10/25/17,11/1/17,11/8/17,11/15/17,9/13/17,9/20/17,9/27/17,10/4/17,10/18/17,10/25/17,11/1/17,11/8/17,11/15/17,11/22/17,Wednesday
71853,9:30 AM,9:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71854,11:30 AM,11:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71855,1:30 PM,1:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71856,3:30 PM,3:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
75339,5:30 PM,5:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71858,9:30 AM,9:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71859,11:30 AM,11:00 AM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71860,1:30 PM,1:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
71861,3:30 PM,3:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
72442,5:30 PM,5:00 PM,8/28/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,9/11/17,9/18/17,9/25/17,10/2/17,10/16/17,10/23/17,10/30/17,11/6/17,11/13/17,11/20/17,Monday
72536,10:00 AM,9:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72537,12:00 PM,11:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72873,2:00 PM,1:30 PM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72874,4:00 PM,3:30 PM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72875,6:00 PM,5:30 PM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72876,8:00 AM,7:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
72877,10:00 AM,9:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
75088,12:00 PM,11:30 AM,8/29/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,9/12/17,9/19/17,9/26/17,10/3/17,10/17/17,10/24/17,10/31/17,11/7/17,11/14/17,11/21/17,Tuesday
